suburbs,growth
Abbotsbury,-0.19348837209302325
Abbotsford (NSW),-0.23309608540925267
Acacia Gardens,0.008140262993112084
Airds,-0.17264150943396225
Alexandria,0.0778318276580959
Alfords Point,0.0
Allambie Heights,0.009345794392523364
Allawah,-0.07083333333333333
Annandale (NSW),-0.029574861367837338
Arncliffe,-0.15767634854771784
Arndell Park,0.0
Artarmon,0.02615
Ashbury,-0.11819306930693069
Ashcroft,-0.03187250996015936
Ashfield (NSW),-0.03184713375796178
Auburn (NSW),-0.05048766494549627
Balgowlah,-0.02863822326125073
Balgowlah Heights,-0.06379310344827586
Balmain,-0.03076923076923077
Balmain East,-0.01694915254237288
Bangor (NSW),-0.08181818181818182
Banksia,0.002386634844868735
Banksmeadow,0.0
Bankstown,-0.045945267386392166
Bankstown Aerodrome,0.0
Barangaroo,0.0
Barden Ridge,-0.06097560975609756
Bardwell Park,-0.04564315352697095
Bardwell Valley,-0.01098901098901099
Bass Hill,-0.060240963855421686
Baulkham Hills,0.015138023152270703
Beacon Hill,-0.04666666666666667
Beaconsfield (NSW),0.1377245508982036
Beecroft,-0.011940298507462687
Belfield,-0.0511482254697286
Bella Vista,0.05395194628710106
Bellevue Hill,-0.11764705882352941
Belmore,-0.07582938388625593
Belrose,-0.03278688524590164
Berala,-0.011627906976744186
Beverley Park,-0.14444444444444443
Beverly Hills,0.021739130434782608
Bexley,-0.04642857142857143
Bexley North,-0.06324110671936758
Birchgrove,-0.07035175879396985
Birrong,-0.12240184757505773
Blacktown,-0.06293706293706294
Blakehurst,-0.18421052631578946
Bondi,0.08565737051792828
Bondi Beach,-0.03853211009174312
Bondi Junction,0.0024691358024691358
Bonnet Bay,-0.017094017094017096
Bonnyrigg,-0.021299067065657453
Bonnyrigg Heights,0.02666666666666667
Bossley Park,0.018518518518518517
Botany,-0.013157894736842105
Botany Bay,0.0
Bow Bowing,-0.09041309431021044
Breakfast Point,0.07142857142857142
Brighton-le-Sands,-0.08380281690140845
Bronte,0.018518518518518517
Brookvale,-0.14103448275862068
Bundeena,0.07874015748031496
Burraneer,-0.12193995381062356
Burwood (NSW),0.0
Burwood Heights,-0.24395604395604395
Busby,-0.12
Cabarita (NSW),0.14429530201342283
Cabramatta,-0.03356890459363958
Cabramatta West,-0.06670746634026928
Cammeray,0.10068649885583524
Camperdown (NSW),-0.15619967793880837
Campsie,-0.12430500397140588
Canada Bay,-0.058823529411764705
Canley Heights,-0.0654320987654321
Canley Vale,-0.046198830409356725
Canterbury (NSW),0.02702702702702703
Caringbah,-0.09090909090909091
Caringbah South,-0.0625
Carlingford,0.0
Carlton (NSW),0.012
Carramar (NSW),-0.10810810810810811
Carss Park,-0.1870188478895673
Cartwright,-0.23076923076923078
Castle Cove,-0.051695199731453506
Castle Hill (NSW),0.02112676056338028
Castlecrag,-0.02181818181818182
Casula,-0.029889538661468484
Cecil Hills,-0.08423913043478261
Cecil Park,0.07796610169491526
Centennial Park (NSW),-0.018115942028985508
Chatswood,-0.02631578947368421
Chatswood West,-0.2
Cheltenham (NSW),-0.2
Cherrybrook,-0.05227655986509275
Chester Hill,-0.04024390243902439
Chifley (NSW),-0.01764705882352941
Chippendale,-0.09622886866059818
Chipping Norton,-0.059042553191489364
Chiswick,0.07075471698113207
Clemton Park,-0.029310344827586206
Clontarf (NSW),0.11152976639035418
Clovelly,-0.16878980891719744
Clyde (NSW),0.0
Colebee,-0.05154639175257732
Collaroy (NSW),-0.19343696027633853
Como (NSW),-0.08571428571428572
Concord,-0.12546125461254612
Concord West,-0.002777777777777778
Condell Park,-0.06284153005464481
Connells Point,0.0
Constitution Hill,-0.018583042973286876
Coogee (NSW),-0.09642857142857143
Cremorne (NSW),-0.17721830173124484
Cremorne Point,0.00044638346727898966
Cromer (NSW),0.03482758620689655
Cronulla,-0.2087912087912088
Crows Nest (NSW),-0.02857142857142857
Croydon (NSW),-0.008070175438596491
Croydon Park (NSW),-0.026217228464419477
Curl Curl,-0.041357370095440084
Daceyville,-0.03571428571428571
Darling Point,-0.5863970588235294
Darlinghurst,-0.089058524173028
Darlington (Sydney - NSW),-0.06666666666666667
Davidson,-0.13690476190476192
Dawes Point,16.9
Dean Park,0.010682004930156122
Dee Why,0.06769230769230769
Denham Court,0.051470588235294115
Denistone,-0.14163090128755365
Denistone East,-0.1453125
Denistone West,0.09601449275362318
Dolans Bay,-0.2
Dolls Point,0.0736196319018405
Doonside,-0.05013192612137203
Double Bay,-0.1597
Dover Heights,-0.13820156910078454
Drummoyne,-0.11016949152542373
Dulwich Hill,0.0
Dundas (NSW),-0.14285714285714285
Dundas Valley,0.0017667844522968198
Earlwood,0.022556390977443608
East Hills,-0.0876923076923077
East Killara,0.04
East Lindfield,-0.0699791390100512
East Ryde,-0.07317073170731707
Eastern Creek,-0.022727272727272728
Eastgardens,0.01694915254237288
Eastlakes,-0.041237113402061855
Eastwood (NSW),-0.045294117647058825
Edensor Park,-0.03880597014925373
Edgecliff,0.061611374407582936
Edmondson Park,-0.08086096567771961
Elizabeth Bay,0.0
Elizabeth Hills,-0.04514363885088919
Enfield (NSW),-0.16096579476861167
Engadine,-0.0027472527472527475
Enmore (Marrickville - NSW),-0.0007434944237918215
Epping (NSW),-0.04047976011994003
Ermington,-0.12832899082685126
Erskineville,0.10943396226415095
Eveleigh,0.0
Fairfield (NSW),-0.06666666666666667
Fairfield East,-0.03266666666666666
Fairfield Heights,-0.07643312101910828
Fairfield West,-0.04939106901217862
Fairlight,-0.06263314870046868
Five Dock,-0.03179604697794328
Forest Lodge,0.06239737274220033
Forestville (NSW),0.013468013468013467
Frenchs Forest,0.01896551724137931
Freshwater (NSW),0.029787234042553193
Georges Hall,-0.06082036775106082
Girraween (NSW),0.05001312516406455
Gladesville,-0.12064343163538874
Glebe (NSW),0.018867924528301886
Glendenning,-0.022900763358778626
Glenfield (NSW),-0.06832298136645963
Glenwood (NSW),0.005128205128205128
Gordon (NSW),-0.013299013299013299
Granville (NSW),-0.03106605624591236
Grays Point,-0.10432330827067669
Green Valley (NSW),0.0034129692832764505
Greenacre,-0.02520107238605898
Greenfield Park,-0.08429351121892056
Greenwich,0.023646603437838233
Greystanes,-0.05389221556886228
Guildford (NSW),-0.0975609756097561
Guildford West,-0.0625
Gymea,-0.060851063829787236
Gymea Bay,-0.03816793893129771
Haberfield,0.08638743455497382
Hammondville,-0.041721854304635764
Harris Park,0.10719677906391545
Hassall Grove,-0.06896551724137931
Haymarket,0.0
Heathcote (NSW),-0.06544502617801047
Heckenberg,-0.13157894736842105
Henley,0.0859375
Hillsdale,-0.24242424242424243
Hinchinbrook (NSW),0.0
Holroyd,0.018889524899828276
Holsworthy,-0.03363636363636364
Homebush (NSW),-0.24
Homebush West,0.14423076923076922
Horningsea Park,0.0
Horsley Park,0.0
Hoxton Park,-0.11400651465798045
Hunters Hill,-0.0735930735930736
Huntleys Cove,0.0
Huntleys Point,0.0
Hurlstone Park,0.09259259259259259
Hurstville,-0.014778325123152709
Hurstville Grove,-0.020209059233449476
Illawong,-0.11067961165048544
Ingleburn,-0.05360294117647059
Jannali,-0.03317307692307692
Kangaroo Point (NSW),0.47368421052631576
Kareela,-0.013513513513513514
Kellyville,0.022321428571428572
Kensington (NSW),-0.04227188081936685
Kentlyn,-0.08496732026143791
Killara (NSW),-0.05384615384615385
Killarney Heights,0.10759493670886076
Kings Langley,0.016666666666666666
Kings Park (NSW),-0.06
Kingsford (NSW),0.018292682926829267
Kingsgrove,-0.05737704918032787
Kirrawee,-0.05041246562786435
Kirribilli,-0.2318840579710145
Kogarah,-0.07692307692307693
Kogarah Bay,0.06826801517067003
