suburbs,yields
Abbotsbury,0.03298731257208766
Abbotsford (NSW),0.01900232018561485
Acacia Gardens,0.03681987577639752
Airds,0.04387685290763968
Alexandria,0.026653771760154737
Alfords Point,0.03401666666666667
Allambie Heights,0.028888888888888888
Allawah,0.028914798206278028
Annandale (NSW),0.027733333333333332
Arncliffe,0.03330049261083744
Arndell Park,0.0
Artarmon,0.019794864298591824
Ashbury,0.025543859649122806
Ashcroft,0.035522633744855966
Ashfield (NSW),0.02394736842105263
Auburn (NSW),0.03141993957703928
Balgowlah,0.03185078219013237
Balgowlah Heights,0.028729281767955802
Balmain,0.024761904761904763
Balmain East,0.019141379310344826
Bangor (NSW),0.03861386138613861
Banksia,0.02921904761904762
Banksmeadow,0.010666666666666666
Bankstown,0.027642105263157895
Bankstown Aerodrome,0.0
Barangaroo,0.0
Barden Ridge,0.03669264069264069
Bardwell Park,0.028486956521739132
Bardwell Valley,0.031893333333333336
Bass Hill,0.03666666666666667
Baulkham Hills,0.02736842105263158
Beacon Hill,0.03272727272727273
Beaconsfield (NSW),0.02335438596491228
Beecroft,0.021993957703927494
Belfield,0.02517051705170517
Bella Vista,0.02563944530046225
Bellevue Hill,0.015160888888888889
Belmore,0.0304
Belrose,0.03507796610169492
Berala,0.03058823529411765
Beverley Park,0.030051948051948052
Beverly Hills,0.026442553191489363
Bexley,0.029213483146067417
Bexley North,0.026329113924050632
Birchgrove,0.027264864864864864
Birrong,0.034210526315789476
Blacktown,0.032985074626865674
Blakehurst,0.023483870967741936
Bondi,0.024807339449541284
Bondi Beach,0.025255725190839694
Bondi Junction,0.02433497536945813
Bonnet Bay,0.03391304347826087
Bonnyrigg,0.03516546762589928
Bonnyrigg Heights,0.032753246753246756
Bossley Park,0.03151515151515152
Botany,0.0
Botany Bay,0.0
Bow Bowing,0.03653813196229649
Breakfast Point,0.023833333333333335
Brighton-le-Sands,0.02797847809377402
Bronte,0.019696969696969695
Brookvale,0.03246085909273384
Bundeena,0.032895377128953775
Burraneer,0.028037874802735403
Burwood (NSW),0.017365945437441205
Burwood Heights,0.02116279069767442
Busby,0.036381461675579325
Cabarita (NSW),0.01906158357771261
Cabramatta,0.0
Cabramatta West,0.030688524590163933
Cammeray,0.022702702702702703
Camperdown (NSW),0.029770992366412213
Campsie,0.0268843537414966
Canada Bay,0.023725
Canley Heights,0.030911492734478203
Canley Vale,0.02709993868792152
Canterbury (NSW),0.02568421052631579
Caringbah,0.028166666666666666
Caringbah South,0.027733333333333332
Carlingford,0.023743396226415095
Carlton (NSW),0.0241501976284585
Carramar (NSW),0.0326969696969697
Carss Park,0.029714285714285714
Cartwright,0.039619047619047616
Castle Cove,0.022497541789577188
Castle Hill (NSW),0.024744827586206896
Castlecrag,0.02237546468401487
Casula,0.034829202947086406
Cecil Hills,0.033329376854599406
Cecil Park,0.01471698113207547
Centennial Park (NSW),0.01656580565805658
Chatswood,0.022252252252252254
Chatswood West,0.02775675675675676
Cheltenham (NSW),0.029833333333333333
Cherrybrook,0.02886832740213523
Chester Hill,0.03237611181702668
Chifley (NSW),0.028023952095808383
Chippendale,0.029928057553956836
Chipping Norton,0.03395138496325608
Chiswick,0.018325991189427314
Clemton Park,0.02586145648312611
Clontarf (NSW),0.023972881355932202
Clovelly,0.02490421455938697
Clyde (NSW),0.0
Colebee,0.03617391304347826
Collaroy (NSW),0.02661241970021413
Como (NSW),0.02907894736842105
Concord,0.021063291139240506
Concord West,0.020278551532033427
Condell Park,0.030320699708454812
Connells Point,0.02191860465116279
Constitution Hill,0.029538461538461538
Coogee (NSW),0.024664031620553358
Cremorne (NSW),0.025217572704422354
Cremorne Point,0.02297481904747915
Cromer (NSW),0.03040986337887371
Cronulla,0.027444444444444445
Crows Nest (NSW),0.02396078431372549
Croydon (NSW),0.025751680226388397
Croydon Park (NSW),0.0256
Curl Curl,0.029911504424778763
Daceyville,0.032740740740740744
Darling Point,0.02865777777777778
Darlinghurst,0.028687150837988826
Darlington (Sydney - NSW),0.044571428571428574
Davidson,0.03666896551724138
Dawes Point,0.025564245810055865
Dean Park,0.03487804878048781
Dee Why,0.02502593659942363
Denham Court,0.04290909090909091
Denistone,0.02184
Denistone East,0.024716636197440585
Denistone West,0.022347107438016527
Dolans Bay,0.020035294117647057
Dolls Point,0.024142857142857143
Doonside,0.034666666666666665
Double Bay,0.021658931334047365
Dover Heights,0.025126050420168067
Drummoyne,0.024054421768707483
Dulwich Hill,0.026
Dundas (NSW),0.026
Dundas Valley,0.02384479717813051
Earlwood,0.026191176470588235
East Hills,0.03098369870713884
East Killara,0.02431818181818182
East Lindfield,0.0233278955954323
East Ryde,0.027026315789473683
Eastern Creek,0.03224806201550388
Eastgardens,0.027733333333333332
Eastlakes,0.025739068100358423
Eastwood (NSW),0.021786814540973507
Edensor Park,0.031975155279503106
Edgecliff,0.029183673469387755
Edmondson Park,0.04015189873417722
Elizabeth Bay,0.0
Elizabeth Hills,0.03456733524355301
Enfield (NSW),0.02410871302957634
Engadine,0.0343801652892562
